#qid	ok	errcode	meanMs	p50Ms	minMs	maxMs	iterations
q01	true		6.221	5.767	3.731	11.346	20
q02	true		54.677	57.546	33.492	70.735	20
q03	true		3.170	3.401	2.027	4.327	20
q04	true		49.378	46.119	31.192	92.055	20
q05	true		28.812	29.095	17.887	41.378	20
q06	true		6.054	6.206	3.666	8.351	20
q07	true		5.247	4.902	3.264	7.504	20
q08	true		17.160	17.574	10.201	24.379	20
q09	true		15.979	17.059	9.564	22.015	20
q10	true		18.279	19.248	10.875	28.634	20
q11	true		27.333	27.820	16.814	39.597	20
q12	true		8.422	8.719	5.220	12.562	20
q13	true		9.667	9.489	6.052	17.865	20
q14	true		39.884	44.492	25.843	53.767	20
q15	true		4.373	4.974	2.728	6.353	20
q16	true		6.953	7.526	4.071	9.640	20
q17	true		18.555	19.064	11.811	29.107	20
q18	true		13.318	12.466	8.300	18.736	20
q19	true		5.920	5.428	4.109	9.665	20
q20	true		8.102	7.471	5.101	12.053	20
q21	true		13.133	13.829	8.447	18.649	20
q22	true		4.618	4.603	2.838	6.746	20
q23	true		21.025	20.829	12.990	31.795	20
q24	true		14.508	15.162	9.225	19.802	20
q25	true		9.384	9.148	6.416	15.734	20
q26	true		5.370	5.332	3.323	7.771	20
q27	true		14.308	14.747	9.049	21.156	20
q28	true		12.911	12.975	8.192	20.831	20
q29	true		10.005	9.663	6.544	14.762	20
q30	true		14.906	13.371	9.015	21.593	20
q31	true		16.212	17.340	9.725	23.708	20
q32	true		4.584	4.587	2.862	6.495	20
q33	true		10.533	10.446	6.507	14.591	20
q34	true		8.341	8.621	5.429	12.018	20
q35	true		20.073	20.165	13.401	29.901	20
q36	true		16.751	16.988	10.206	25.119	20
q37	true		3.999	3.868	2.505	6.360	20
q38	true		6.265	5.466	4.136	9.458	20
q39	true		9.792	9.645	6.511	14.146	20
q40	true		13.362	13.736	8.741	21.756	20
q41	true		14.998	15.749	10.421	20.008	20
q42	true		2.961	2.759	1.948	4.519	20
q43	true		40.310	38.389	23.722	104.474	20
q44	true		9.099	8.283	5.611	14.274	20
q45	true		5.398	4.840	3.588	9.242	20
q46	true		8.723	8.774	5.219	15.383	20
q47	true		22.953	20.512	13.892	49.717	20
q48	true		7.956	6.647	4.857	23.771	20
q49	true		34.560	32.056	19.315	54.163	20
q50	true		38.045	36.492	21.920	87.808	20
q51	true		13.057	11.898	6.812	55.918	20
q52	true		3.339	2.838	2.046	9.307	20
q53	true		7.881	8.009	4.977	13.917	20
q54	true		11.143	10.340	6.871	37.780	20
q55	true		2.870	2.556	1.924	5.189	20
q56	true		11.528	10.318	6.653	18.211	20
q57	true		20.732	19.631	14.557	28.456	20
q58	true		15.540	14.782	8.751	27.060	20
q59	true		55.738	60.951	32.685	78.781	20
q60	true		10.669	10.280	6.699	17.529	20
q61	true		9.328	9.309	6.216	14.229	20
q62	true		15.536	15.517	10.591	24.207	20
q63	true		7.907	7.476	5.315	11.445	20
q64	true		23.677	23.722	15.453	38.207	20
q65	true		7.298	7.629	4.605	10.930	20
q66	true		82.701	88.998	48.543	113.645	20
q67	true		8.283	7.615	5.321	14.016	20
q68	true		8.449	7.691	5.334	16.212	20
q69	true		14.020	13.884	8.265	22.360	20
q70	true		10.127	9.284	6.723	15.413	20
q71	true		7.988	7.931	4.698	13.070	20
q72	true		16.307	16.432	10.019	23.279	20
q73	true		7.358	7.594	4.652	12.442	20
q74	true		23.532	22.532	14.018	56.515	20
q75	true		33.654	32.278	21.782	55.291	20
q76	true		24.985	25.722	16.986	36.501	20
q77	true		26.907	27.218	19.104	37.779	20
q78	true		37.747	36.627	21.683	55.830	20
q79	true		7.611	8.271	4.916	12.488	20
q80	true		34.932	32.089	20.319	58.582	20
q81	true		8.473	8.261	4.814	15.110	20
q82	true		3.920	3.904	2.188	6.045	20
q83	true		15.733	14.890	9.572	25.982	20
q84	true		11.597	10.188	6.241	23.642	20
q85	true		12.857	12.442	7.841	21.926	20
q86	true		12.517	12.562	6.813	19.700	20
q87	true		7.549	7.323	5.237	13.367	20
q88	true		28.661	27.670	17.645	52.762	20
q89	true		10.187	9.547	6.737	16.550	20
q90	true		6.246	6.027	4.055	9.977	20
q91	true		7.186	6.752	4.449	12.434	20
q92	true		4.734	4.447	2.864	8.484	20
q93	true		6.621	6.405	3.836	9.682	20
q94	true		7.009	7.669	4.491	10.576	20
q95	true		6.581	6.395	3.877	11.078	20
q96	true		2.920	3.073	1.751	3.902	20
q97	true		9.067	8.425	5.239	17.336	20
q98	true		9.255	8.866	5.485	14.412	20
q99	true		23.939	20.365	12.338	66.312	20
