#qid	status	origRows	rwRows	detail
q01	subset	104	94	
q02	subset	1974	1967	
q03	same	0	0	
q04	same	0	0	
q05	same	137	137	
q06	subset	2	1	
q07	same	54	54	
q08	same	0	0	
q09	same	1	1	
q10	same	0	0	
q11	same	0	0	
q12	same	14	14	
q13	same	1	1	
q14	same	552	552	
q15	filtered-aggregates(1 rows recomputed)	7	7	
q16	same	1	1	
q17	same	2	2	
q18	same	45	45	
q19	same	0	0	
q20	same	24	24	
q21	same	5	5	
q22	same	361	361	
q23	same	0	0	
q24	same	0	0	
q25	same	0	0	
q26	same	30	30	
q27	same	103	103	
q28	same	1	1	
q29	same	3	3	
q30	orig-error	0	0	Binder Error: Referenced column "c_last_review_date" not found in FROM clause! Candidate bindings: "c_last_review_date_sk", "c_last_name", "c_first_sales_date_sk", "ca_street_name", "ca_street_type"  
q31	same	0	0	
q32	same	1	1	
q33	same	12	12	
q34	subset	4	2	
q35	same	12	12	
q36	same	60	60	
q37	same	0	0	
q38	same	1	1	
q39	same	0	0	
q40	same	7	7	
q41	same	0	0	
q42	same	1	1	
q43	same	1	1	
q44	same	0	0	
q45	subset	17	15	
q46	subset	93	86	
q47	same	670	670	
q48	same	1	1	
q49	same	0	0	
q50	same	1	1	
q51	same	143	143	
q52	same	1	1	
q53	same	3	3	
q54	same	0	0	
q55	same	1	1	
q56	same	3	3	
q57	same	665	665	
q58	same	0	0	
q59	same	2548	2548	
q60	filtered-aggregates(1 rows recomputed)	18	18	
q61	filtered-aggregates(1 rows recomputed)	1	1	
q62	same	6	6	
q63	same	10	10	
q64	same	0	0	
q65	same	0	0	
q66	same	1	1	
q67	same	1003	1003	
q68	subset	16	15	
q69	subset	8	6	
q70	same	3	3	
q71	same	8	8	
q72	same	10	10	
q73	same	0	0	
q74	same	0	0	
q75	same	8	8	
q76	subset	219	218	
q77	same	8	8	
q78	same	261	261	
q79	subset	84	73	
q80	same	30	30	
q81	subset	9	5	
q82	same	0	0	
q83	same	0	0	
q84	same	1	1	
q85	same	0	0	
q86	same	65	65	
q87	filtered-aggregates(1 rows recomputed)	1	1	
q88	same	1	1	
q89	same	21	21	
q90	orig-error	0	0	Parser Error: syntax error at or near "AT"  LINE 13:        AND web_page.wp_char_count BETWEEN 5000 AND 5200) AT,                                                                   ^
q91	same	0	0	
q92	same	1	1	
q93	same	0	0	
q94	same	1	1	
q95	same	1	1	
q96	same	1	1	
q97	same	1	1	
q98	same	24	24	
q99	same	6	6	
